Region	URL	Date that the local BMD records obtained for this study were last updated	No. of subdistricts in region	Subdistricts in region	No. of records	No. of records with 1 or more middle names	Years covered
Bath	www.bathbmd.org.uk	22nd August 2007	39	Abbey | Bath - First Series | Bath - Second Series | Bath A - First Series | Bath A - Second Series | Bath A - Third Series | Bath B - First Series | Bath B - Second Series | Bath B - Third Series | Bath C - First Series | Bath C - Second Series | Bath D - First Series | Bath D - Second Series | Bath E | Bath North | Bath Rural | Bath South | Bathavon | Bathavon Camerton | Bathavon Keynsham | Batheaston | Bathwick | Chew Magna | Clutton | Harptree | High Littleton | Keynsham | Lansdown | Lyncombe/Widcombe - First Series | Lyncombe/Widcombe - Second Series | Midsomer Norton | Newton Keynsham | Norton Radstock - First Series | Norton Radstock - Second Series | Norton Radstock Clutton | Twerton - First Series | Twerton - Second Series | Walcot - First Series | Walcot - Second Series	342455	176710	1733,1734,1737-2006
Berkshire	www.berkshirebmd.org.uk	7th April 2011	13	Bucklebury | Caversham | Mortimer | Reading Central | Reading East | Reading First | Reading Second | Reading Third | Reading West | St Giles | St Lawrence | St Mary | Tilehurst	163597	75989	1740,1743-1968
Cheshire	www.cheshirebmd.org.uk	24th April 2017	54	Altrincham | Ashton Town | Ashton and Mossley | Ashton under Lyne | Ashton under Lyne Hospital | Audenshaw | Bebington | Birkenhead | Birkenhead North | Birkenhead South | Bredbury | Cheadle | Chester Castle | Chester Cathedral | Chester City | Chester Rural | Daresbury | Denton | Dukinfield | Dukinfield & Stalybridge | East Wirral | Eastham | Flixton | Frodsham | Great Boughton | Hartshead | Hazel Grove | Heaton Norris | Hyde | Knott Lanes | Lees | Malpas | Marple | Mossley | Mottram | Neston | Newton & Godley | Runcorn | Sale | Stalybridge | Stayley | Stockport | Stockport First | Stockport Second | Stockport Third | Stretford | Tameside | Tarvin Rural | Tattenhall | Tranmere | Urmston | Wallasey | West Wirral | Woodchurch	1592243	447218	1733,1736,1739,1741-2006
Kingston	www.kingstonbmd.org.uk/	29th December 2022	1	Kingston	1950	290	1742,1744-1847
Lancashire	www.lancashirebmd.org.uk	8th June 2023	260	Abercromby | Accrington | Adlington | Alston | Ancoats | Ardwick | Arkholme | Ashton | Aspull | Atherton | Aughton | Bacup | Barnoldswick | Bickerstaff | Billinge | Billington | Billington & Mellor | Birtle | Blackburn | Blackburn East | Blackburn Northern | Blackburn South Eastern | Blackburn South Western | Blackburn Southern | Blackburn West | Blackburn Western | Blackley | Blackpool | Blackpool A | Blackpool East | Blackpool North | Blackpool South | Blatchinworth and Calderbrook | Bolton A | Bolton B | Bolton C | Bolton D | Bolton E | Bolton North | Bolton South | Boundary Park A | Boundary Park B | Bowland | Bradford | Briercliffe | Brindle/Withnell | Broughton | Burnley | Burnley East | Burnley First | Burnley Second | Burnley West | Bury | Bury North | Bury South | Butterworth | Butterworth Freehold | Butterworth Lordship | Castleton | Castleton Further | Castleton Nearer | Castleton No 1 | Castleton No 2 | Caton | Central | Chadderton | Cheetham | Chipping | Chorley | Chorlton-on-Medlock | Clitheroe | Clitheroe A | Colne | Colne and Padiham | Crompton | Crompton & Royton | Croston | Culcheth | Dale Street | Darwen | Darwen & Turton | Deansgate | Delph | Didsbury | East Manchester | East Preston | Eastern Bolton | Edenfield | Edgworth | Ellel | Elton | Failsworth | Farnworth | Farnworth & Kearsley | Fleetwood | Flixton | Fulwood | Fulwood & Penwortham | Garstang | Gisburn | Gorton | Great Bolton | Great Bolton and Lever | Great Harwood | Halliwell | Halsall | Haslingden | Heaton | Heywood | Hindley | Holcombe | Hornby | Horwich | Howard Street | Hulme | Islington | Kearsley | Kirkham | Lancaster | Lathom | Leigh | Leigh & Golborne | Lever | Leyland | Little Bolton | Little Hulton | Littleborough | London Road | Longridge | Longton | Lowton | Lytham | Lytham St Annes | Manchester | Manchester (CRU) | Manchester (MC) | Manchester (ME) | Manchester (MEC) | Manchester (MN) | Manchester (MNC) | Manchester (MS) | Manchester (MW) | Manchester (MWC) | Manchester (WITH) | Manchester Central | Manchester Crumpsall Hospital | Manchester East | Manchester East Central | Manchester North | Manchester North Central | Manchester North East | Manchester North West | Manchester South | Manchester South East | Manchester South West | Manchester West | Manchester West Central | Manchester Withington Hospital | Market Street | Mellor | Middleton | Milnrow | Morecambe | Nelson | Nelson and Colne | Newchurch | Newton | Newton Heath | North Preston | Oldham A | Oldham Above Town | Oldham B | Oldham Below Town | Oldham C | Oldham Central | Oldham D | Oldham East | Oldham First | Oldham North | Oldham Second | Oldham South | Oldham Third | Openshaw | Ormskirk | Orrell | Oswaldtwistle | Padiham | Pemberton | Pendle | Penwortham | Pilkington | Poulton-le-Fylde | Preesall | Preston | Preston East | Preston North East | Preston South West | Preston West | Prestwich | Radcliffe | Ramsbottom | Rawtenstall A 1st | Rawtenstall A 2nd | Ribble Valley | Rochdale | Rossendale | Royton | Rusholme | Saddleworth | Saint George | Scarisbrick | Sharples | Skelmersdale | Slaidburn | South West Bolton | Spotland Further | Spotland Nearer | Spotland and Norden | Springhead | St John | St Peters | St. George | St. Martin | St. Michael | St. Thomas | Stalmine | Standish | Stretford | Tarleton | Tonge with Haulgh | Tottington | Townleys | Townleys A | Townleys B | Trinity | Tunstall | Turton | Upholland | Uppermill | Urmston | Walmersley | Walton-le-Dale | Wardleworth | Warton | West Manchester | West Preston | Western Bolton | Westhoughton | Westleigh | Whalley | Whitefield | Whitworth and Brandwood | Whitworth and Wardle | Wigan | Wigan (Central) | Wigan (East) | Wigan (West) | Witton | Wray | Wuerdle and Wardle	6112696	1458202	1733,1734,1736-2009
North_Wales	www.northwalesbmd.org.uk	22th July 2012	1	Bodedern	596	11	1734,1742-1744,1747-1793,1795-1843
Staffordshire	www.staffordshirebmd.org.uk	7th October 2022	51	Alton | Biddulph | Brewood | Brewood and Cheslyn Hay | Burslem | Burton-on-Trent | Cannock (old Penkridge Rural District) | Castle Church | Cheadle | Cheadle and Alton | Cheddleton | Cheslyn Hay | Colwich | Dilhorne | Eccleshall | Fazeley | Fenton | Gnosall | Hanley | Hartshill | Hednesford | Ipstones | Kinver | Leek | Leek Frith | Leek Rural | Leek Urban | Leek and Cheddleton | Lichfield (held at Lichfield RO) | Lichfield (held at Newcastle RO) | London Road (City General Hospital) | Longnor | Longton | Newcastle-under-Lyme | Newcastle-under-Lyme Borough | Norton | Rugeley | Seisdon | Shelton | Stafford | Stoke | Stoke Rural | Stone | Sutton Coldfield | Tamworth | Trentham | Tunstall | Uttoxeter | Whitmore | Wolstanton | Yoxall	1017460	316407	1736,1739-1995,1997-1999,2003
Wiltshire	www.wiltshirebmd.org.uk	20th April 2018	39	Alderbury | Amesbury | Bishop Cannings | Bishopstone | Bradford on Avon | Bradford on Avon North Western | Bradford on Avon South Eastern | Britford | Bromham and Potterne | Calne | Castle Combe | Chippenham | Christian Malford | Collingbourne | Corsham | Devizes | Donhead | Downton | Edington | Heytesbury | Hindon | Lavington | Longbridge Deverill | Malmesbury East | Malmesbury West | Marlborough | Melksham | Mere | Netheravon | North Bradley | Orcheston | Ramsbury | Salisbury | Tisbury | Trowbridge | Warminster | Westbury | Wilton | Winterbourne	230485	46028	1737,1739-1948
Yorkshire	www.yorkshirebmd.org.uk	4th June 2015	16	Cottingham | Delph | Drypool | East Sculcoates | Hessle | Humber | Myton | Newlands | Paragon | Saddleworth | Southcoates | Springhead | St Mary's | Sutton | Uppermill | West Sculcoates	425762	146783	1739-1967,1970-1974
